date,value
1996,3.596360029
1997,10.26274361
1996,13.88045903
1996,4.430921154
1998,5.922947246
1995,1.382145592
1997,14.43549148
1998,33.74458549
1998,1.181537616
1997,12.53120132
1997,7.844803494
2000,44.72552369
1998,11.006754
2000,103.9361533
1996,6.985042087
1997,3.694367788
1995,13.55899338
1995,-4.138651672
1995,9.188864025
1997,1.064069675
1997,-1.035436278
1999,59.24853818
1997,6.774012475
1996,-15.31214245
1995,1.751606959
1995,-74.36569372
1997,0.929744658
1998,21.40006188
1999,-6.307088093
1999,32.91072593
1997,6.68367896
1996,-4.634057984
1998,0.348504328
1997,-4.072232651
1998,3.399635777
1997,-4.838929542
1996,8.529395333
1999,39.20743679
1996,0.834802623
1999,43.8667423
1999,10.80105718
1999,46.85318636
1999,6.687664093
1996,-27.99505505
1997,-1.710160491
1998,15.68053952
1999,5.001334882
2000,91.02108942
1998,13.90893811
1996,-23.06999108
2000,13.38955781
1998,30.52905536
1997,9.897748264
2000,45.69051553
1995,-2.67618137
1996,-2.926395018
1999,4.019737205
2000,106.5389005
1995,9.254107168
1997,6.949517612
1999,2.428952453
1996,-19.14830495
1995,6.345028676
1998,30.91485202
1998,0.779350717
1997,9.596022932
2000,9.140305348
1996,-15.35119517
2000,5.57872384
2000,15.35087359
2000,7.799381838
1999,43.67684568
1997,6.92770287
2000,47.05676294
2000,0.70653046
1998,39.10454028
1998,7.433245336
1998,19.17321408
1995,5.323452755
1995,-75.87338027
1999,5.006257203
1995,-5.118751051
1998,10.08416661
1998,23.77625241
1995,-0.380731586
2000,104.2882403
2000,3.487905215
1998,18.74547511
1998,5.113591677
1995,-47.14305296
1995,10.52781679
1997,-0.801031595
2000,-0.075274165
1996,-8.023744711
1995,8.754079811
1995,-63.68510495
1999,8.539676849
1995,-51.07688001
1998,2.952751758
1997,8.00458758
1995,-1.038151948
1995,-54.413132
1995,3.623611181
1997,8.79473935
2000,12.31900824
2000,13.71134036
2000,6.011294161
1995,-47.02528188
1997,3.582766255
1999,42.14460024
2000,10.89797861
1995,-8.236076418
2000,3.554772475
1998,41.42315517
1998,10.95904238
1999,34.85782018
1998,-0.771127257
1995,-69.79941594
1995,3.746604348
1997,3.432545086
1995,4.846809872
1995,-25.51522229
1999,-2.328038583
1997,11.14442985
1999,4.746720396
2000,22.82247228
1996,7.984129646
1998,20.8900872
1996,2.506581532
1999,83.56342448
2000,1.210609391
1995,-43.23331486
1995,3.744456109
1999,18.27289385
1999,9.759469938
1999,57.18453329
1998,4.421224714
1997,10.55818441
1995,-1.235209072
1997,18.19461774
1997,-3.358684375
1999,40.172502
1997,3.079835538
1995,-49.50910861
1996,7.443870114
1998,19.75150772
1998,6.589134475
1999,71.3520119
1997,7.689760084
2000,29.71873422
1995,11.24940793
1995,-43.30504483
1997,-5.082278753
1997,5.89646001
1997,8.560811867
1997,7.335521502
1998,-1.387919435
1997,7.615185033
1998,7.31713329
1998,32.77781878
2000,9.266807973
2000,69.68899768
2000,13.46606168
1995,-73.75286772
2000,2.680683074
1995,-17.13256358
1996,5.123489191
1998,10.20436156
1996,7.169748621
1998,20.62131466
1995,6.312833178
1996,-22.4450271
2000,8.308466627
1999,52.97615728
1997,7.231943945
1998,30.70794783
1999,4.515607856
1998,25.56978307
1995,5.278886936
1996,-10.02076181
1995,-1.055322074
1999,53.65749202
1997,6.883214694
1998,4.667219266
1996,7.388474792
2000,71.97792025
2000,6.34279466
2000,10.00546921
1998,10.94776942
2000,51.62961588
1996,-23.8858346
1997,6.411809775
1995,-60.41331957
1995,-24.59090401
1995,0.130091384
1998,16.40751676
1996,9.667505127
2000,45.96871004
2000,5.463127318
1995,-2.117851931
1995,16.46655703
2000,119.5691285
1999,6.194905876
1998,33.98602371
1995,-0.690844953
1999,52.76151387
1995,5.027871367
2000,-0.351204234
1997,3.358756524
1997,8.405740161
1999,-3.615196096
2000,100.1671264
2000,4.166832568
2000,26.75520313
1996,3.283371481
1995,-36.00498156
1997,0.065321577
1998,37.28212712
1999,5.142812679
2000,28.55785782
1996,12.51156307
1996,57.62583353
2000,7.189528387
1998,41.85791049
1995,6.699450866
1995,-40.69735373
1997,2.607513638
2000,43.07294046
1997,6.253906167
1997,8.963258867
1997,7.363452311
1997,3.897969074
2000,8.328411318
1995,-48.06100029
2000,4.250953115
1995,-21.31237704
1996,4.915304364
1995,-17.12249876
1999,3.153948394
1998,25.49334612
1999,10.93109262
1996,-14.59043396
1997,9.163849609
1996,-7.199412714
1995,-9.120808099
1999,61.97117037
1996,5.139151393
1999,48.81544938
1999,10.66851909
2000,73.35304127
1995,7.868983339
1999,48.7639222
1998,14.78338674
1995,-11.87129575
1999,20.44604104
1995,-43.64238411
1998,7.70849112
1999,40.48797872
1998,4.619477337
1999,55.17021731
1998,5.532367235
1996,-12.36273566
1996,0.324921354
1996,-14.16742632
1995,10.06121926
1996,-18.31667737
1999,8.914577753
1999,3.247317524
1997,10.85221342
1996,-2.933828376
1996,2.175852386
1997,1.191131362
1999,-2.051828368
1995,-30.57984379
2000,5.09489987
1997,12.03227792
1996,8.656825096
1997,-66.35713962
1996,4.769511059
1999,69.3688787
1995,1.672799283
1995,-124.5785026
1997,-3.202449694
1999,72.66978886
1996,-0.820985046
1997,-5.142220245
1997,1.065396801
1997,13.61351409
1998,7.263446909
1999,28.64774697
1995,4.568716366
2000,92.00313455
1996,5.49158636
2000,98.58189138
1998,4.399753726
1995,-30.63323213
1998,-6.446444496
1998,16.08285309
1999,-1.484192162
2000,142.3642858
1998,6.070383912
1998,17.05180245
1995,11.42786888
1995,-31.86547921
1997,5.540351288
2000,81.66516696
1997,11.63668392
2000,36.89930472
1996,5.620564694
1996,-21.8882248
1996,4.680562104
1996,-25.66984605
1998,17.08057786
1995,-51.14269757
1997,6.769348879
1996,-11.6480911
1998,0.662032825
1998,18.57150976
2000,1.032697383
1997,0.461031071
1995,2.383821491
1999,42.62749926
1998,5.245834996
1998,39.68199829
1998,7.356142468
1999,59.65130329
1998,12.22966864
2000,35.55214219
1995,0.304630318
1996,-10.08347967
1995,1.61656805
1997,6.116435186
1998,2.787570192
1996,-17.44344647
1995,7.824380832
1999,36.90233052
1998,8.686855888
2000,75.85342534
2000,13.17627428
1999,31.56700615
2000,2.324565939
1999,35.81822021
1997,5.28870853
1996,-11.66360544
2000,12.46083155
2000,33.75369326
2000,5.998289937
1996,-22.93192815
1998,4.75803425
1998,35.20233684
1999,1.381337418
1995,-65.50820508
1998,14.16590017
1997,10.84227862
1995,7.027575673
1999,31.51542969
1995,8.754002538
1997,4.293112126
1998,3.256236375
1996,-9.098032346
1996,12.88893496
2000,99.89926337
1995,10.51724521
2000,76.53248964
1996,10.51769279
2000,24.238792
1997,6.708677533
1998,29.28663875
1998,-0.613647846
1995,-22.2644596
1999,3.149024123
1998,38.16516207
1996,-11.21263062
1999,76.69067133
1995,2.862235338
1995,-45.58939923
1997,11.38668652
1995,-54.81193304
1997,3.937738562
1999,78.99144896
1996,7.389115101
1998,26.80718793
1995,6.394199751
1999,13.76365393
1999,4.659356354
1997,7.147838039
1999,6.098827391
1995,-46.04482113
1998,5.292370939
1996,-11.31020655
1996,10.85626931
1997,10.35790793
1995,8.70374404
1997,0.548446362
1995,6.544574608
1996,-11.3380957
1998,4.663580223
1996,-0.42527679
1995,8.138699427
1997,5.461301627
1996,8.387559512
1997,11.05250894
1997,1.059716954
1997,-1.580814214
1999,11.46495508
1999,63.6645773
1999,14.91123093
1996,-16.89816432
1998,3.46178043
1999,79.52551224
1997,-2.443615832
1996,17.90192184
2000,6.015803041
1998,29.38557038
1998,5.482177277
1997,-0.28498558
1998,-0.060688196
2000,55.03321762
1996,1.984754505
1998,21.46401359
1998,9.46631473
2000,30.44370933
1995,-10.39130757
1995,-55.68039581
1998,0.648320948
1997,2.35664471
1998,1.912617332
1998,26.22450802
1997,-3.083552262
1998,37.75468463
1995,9.14748335
1996,-20.68995638
1999,6.117525844
1995,-39.14865852
1998,5.774787423
1996,-14.63353073
1998,2.049764765
1997,9.799492859
1998,5.316620771
1995,-62.29945879
2000,9.575744898
1997,2.92276218
1997,5.663675329
1997,8.806021282
1999,4.101537157
1996,-8.449690419
2000,4.960850294
1996,-20.96309874
1997,3.271144694
1997,11.02957458
1996,3.314274029
1995,-28.56723378
1996,13.02317343
1995,-38.78364558
1998,5.344793727
1995,-34.91237684
1997,-0.510986964
1997,4.220376322
2000,9.337594218
2000,60.35867784
1997,9.219058506
1996,-28.91019483
1998,6.1132041
1997,3.326732228
2000,8.280367716
1996,-19.70507347
1998,1.474594935
2000,73.43043873
1996,11.15765903
1997,15.05028605
1999,2.807620782
1997,9.754071671
1995,5.380707992
1996,-23.5226382
1997,2.545378447
1998,-7.394956913
1996,2.98882701
1996,-15.89685298
2000,1.306528789
1998,13.25262357
1995,-5.291787061
1995,-11.6076049
1996,8.483158447
2000,42.43514682
2000,0.120274678
2000,58.29399806
1996,3.597099791
1999,38.52191188
1998,-2.069263031
1998,12.60282868
2000,7.138453896
1997,11.60439076
1995,9.176844379
1996,-34.99482338
1996,5.914038541
1995,-64.81657105
2000,10.28362266
1997,-10.92378802
2000,4.521573029
2000,90.26147012
1996,2.846852294
1998,27.27113453
1996,6.440384827
1998,17.22964788
1999,0.775540568
1999,31.42247379
1996,6.314694448
1995,-19.58492384
2000,1.632376125
1995,-26.97922277
1997,6.211654772
2000,104.0506132
1997,-3.299115468
2000,43.22873402
1996,8.718425096
1998,26.24430157
1995,13.44936705
1998,37.07566509
1996,-0.973289689
2000,78.84375711
1998,14.44051055
1999,80.46294665
1998,4.097912092
1998,33.74199775
2000,9.780354292
1996,-13.45066077
2000,-5.983203605
1996,-24.72781455
2000,9.857341496
1998,29.73902579
1996,7.031561657
1995,-8.662456647
1999,12.98388554
1995,-29.28865851
1998,-8.229801116
1995,-33.07986511
1996,7.474538883
2000,56.49856366
1995,13.3638298
2000,48.31869922
1995,2.776435354
1996,-26.20114359
2000,66.26772673
2000,59.93493641
2000,9.309615394
1997,0.420068033
1995,6.963886218
2000,62.00294898
1995,1.03029336
1996,-26.61056535
1997,10.76934609
1996,-9.403662125
1996,-1.677695939
1997,4.889546837
2000,7.742046427
1995,-5.884816699
2000,8.681389871
1999,60.25416339
1995,2.654672293
1996,-5.968696849
1996,9.035499571
1999,31.82350515
1998,3.854014373
2000,29.92009777
1996,11.65827169
1996,-24.01413494
1998,5.737486779
2000,135.7074932
1998,1.868333616
1997,7.943320532
1995,-1.939175159
1997,2.54021713
1997,-2.672344907
1996,-17.08488402
1995,2.960106421
1995,-42.15211258
1999,0.810162683
1999,53.24780382
1998,7.195308627
1997,7.019693275
1995,1.962782117
1997,11.6858343
1999,3.836013278
1997,4.580538775
2000,6.082368341
1996,-10.13100012
1995,3.916973724
1998,13.15704548
1995,5.680382474
1995,-52.84833556
1995,7.204256893
1995,-50.38852249
2000,5.113352776
1999,41.74057006
1999,5.816869729
1996,-12.94679321
1995,-1.179205411
1999,78.39943737
1999,8.433286534
1997,-0.119316852
1997,4.367710721
1999,45.55213039
1995,4.63367118
1998,40.39040403
1996,0.151516335
2000,80.98185951
1999,11.50541188
1997,0.471403737
2000,11.8434287
2000,116.0233659
1998,0.966287994
1998,22.26233634
1996,3.762364308
1999,70.17276006
1995,1.672044885
2000,92.7054591
1995,-0.818154002
1998,36.94650399
1996,2.262407418
2000,80.16221578
1998,0.709416284
1995,-38.71949808
1998,-0.770414041
1995,-44.59164437
2000,6.68554875
1998,8.806347045
1999,-1.20768755
1995,-58.0117703
1996,2.465148799
1998,2.042852856
1995,7.664719966
1996,-23.62707999
2000,-2.842401969
1996,-34.03639316
1996,7.519418843
1998,30.83370257
1998,0.473823272
1995,-78.46249402
2000,2.086768951
1999,30.45795868
1998,3.315780316
1997,6.684866386
1999,0.59544603
1995,-18.92199553
1998,8.453628838
